game,score,epsilon,length
1,155.0,1.0,744
2,185.0,1.0,790
3,185.0,1.0,803
4,165.0,1.0,754
5,120.0,1.0,902
6,255.0,1.0,1221
7,360.0,1.0,1207
8,155.0,1.0,713
9,110.0,1.0,652
10,35.0,1.0,483
11,30.0,1.0,501
12,50.0,1.0,486
13,35.0,1.0,589
14,20.0,0.9937450000000053,573
15,80.0,0.9887950000000095,372
16,135.0,0.9779950000000187,761
17,215.0,0.9642250000000304,956
18,110.0,0.9533800000000396,764
19,65.0,0.9487000000000436,354
20,100.0,0.9395200000000514,654
21,210.0,0.927100000000062,870
22,440.0,0.9131050000000739,973
23,400.0,0.8920000000000918,1446
24,330.0,0.8779600000001038,975
25,130.0,0.8679250000001123,708
26,210.0,0.8559550000001225,837
27,70.0,0.8460100000001309,704
28,100.0,0.8371900000001384,628
29,90.0,0.8309350000001438,456
30,305.0,0.8160400000001564,1032
31,75.0,0.8087050000001627,529
32,50.0,0.8030800000001674,413
33,225.0,0.7898950000001786,919
34,90.0,0.7814800000001858,600
35,335.0,0.7645600000002002,1168
36,125.0,0.7552450000002081,661
37,185.0,0.7435450000002181,820
38,105.0,0.737695000000223,430
39,75.0,0.7324300000002275,393
40,110.0,0.7228000000002357,682
41,35.0,0.7163200000002412,472
42,495.0,0.695350000000259,1438
43,135.0,0.6847300000002681,748
44,240.0,0.6736600000002775,777
45,130.0,0.6637600000002859,701
46,55.0,0.6572800000002914,474
47,315.0,0.641305000000305,1106
48,485.0,0.6250600000003188,1121
49,60.0,0.6161050000003264,638
50,260.0,0.599005000000341,1181
51,140.0,0.5878450000003504,784
52,150.0,0.5783950000003585,671
53,210.0,0.5665600000003685,828
54,155.0,0.5549050000003785,815
55,480.0,0.5412250000003901,951
56,110.0,0.5324950000003975,622
57,75.0,0.5254300000004035,509
58,35.0,0.5135050000004137,834
59,80.0,0.504820000000421,618
60,165.0,0.49352500000042265,792
61,590.0,0.47732500000041644,1120
62,75.0,0.4696300000004135,553
63,155.0,0.4584700000004092,785
64,500.0,0.4440700000004037,998
65,415.0,0.4263850000003969,1220
66,205.0,0.41189500000039136,1006
67,75.0,0.4061800000003892,420
68,150.0,0.39461500000038474,812
69,365.0,0.38026000000037924,998
70,65.0,0.3731050000003765,516
71,70.0,0.366580000000374,473
72,350.0,0.353575000000369,907
73,410.0,0.3397150000003637,962
74,425.0,0.32441500000035783,1060
75,110.0,0.3164500000003548,571
76,290.0,0.3003400000003486,1116
77,90.0,0.29206000000034543,594
78,320.0,0.27797500000034003,981
79,50.0,0.2723500000003379,415
80,115.0,0.26290000000033426,670
81,105.0,0.2564650000003318,467
82,285.0,0.24040000000033157,1111
83,75.0,0.23333500000033322,510
84,320.0,0.22298500000033564,729
85,40.0,0.21434500000033765,614
86,285.0,0.19976500000034106,1013
87,225.0,0.1888750000003436,766
88,55.0,0.18253000000034508,462
89,290.0,0.17056000000034788,838
90,460.0,0.15278500000035203,1223
91,95.0,0.14356000000035418,656
92,175.0,0.13010500000035732,938
93,160.0,0.11894500000035806,782
94,305.0,0.10229500000035681,1151
95,105.0,0.09995500000035663,647
96,210.0,0.09995500000035663,725
97,90.0,0.09995500000035663,535
98,85.0,0.09995500000035663,801
99,95.0,0.09995500000035663,902
100,185.0,0.09995500000035663,1051
101,70.0,0.09995500000035663,610
102,230.0,0.09995500000035663,722
103,130.0,0.09995500000035663,573
104,20.0,0.09995500000035663,542
105,170.0,0.09995500000035663,727
106,90.0,0.09995500000035663,808
107,245.0,0.09995500000035663,613
108,165.0,0.09995500000035663,623
109,350.0,0.09995500000035663,1311
110,160.0,0.09995500000035663,664
111,5.0,0.09995500000035663,405
112,115.0,0.09995500000035663,651
113,355.0,0.09995500000035663,961
114,455.0,0.09995500000035663,976
115,200.0,0.09995500000035663,978
116,355.0,0.09995500000035663,877
117,50.0,0.09995500000035663,446
118,250.0,0.09995500000035663,1040
119,90.0,0.09995500000035663,610
120,150.0,0.09995500000035663,942
121,50.0,0.09995500000035663,395
122,140.0,0.09995500000035663,808
123,40.0,0.09995500000035663,539
124,185.0,0.09995500000035663,1115
125,295.0,0.09995500000035663,948
126,390.0,0.09995500000035663,998
127,75.0,0.09995500000035663,716
128,50.0,0.09995500000035663,446
129,200.0,0.09995500000035663,906
130,70.0,0.09995500000035663,686
131,55.0,0.09995500000035663,525
132,90.0,0.09995500000035663,611
133,290.0,0.09995500000035663,1029
134,535.0,0.09995500000035663,1107
135,65.0,0.09995500000035663,492
136,120.0,0.09995500000035663,674
137,110.0,0.09995500000035663,834
138,120.0,0.09995500000035663,974
139,60.0,0.09995500000035663,435
140,550.0,0.09995500000035663,1268
141,140.0,0.09995500000035663,555
142,235.0,0.09995500000035663,880
143,45.0,0.09995500000035663,703
144,55.0,0.09995500000035663,666
145,100.0,0.09995500000035663,694
146,185.0,0.09995500000035663,944
147,145.0,0.09995500000035663,783
148,180.0,0.09995500000035663,760
149,290.0,0.09995500000035663,984
150,240.0,0.09995500000035663,936
151,185.0,0.09995500000035663,652
152,145.0,0.09995500000035663,841
153,110.0,0.09995500000035663,640
154,635.0,0.09995500000035663,1775
155,410.0,0.09995500000035663,1059
156,65.0,0.09995500000035663,702
157,105.0,0.09995500000035663,520
158,20.0,0.09995500000035663,679
159,600.0,0.09995500000035663,1171
160,75.0,0.09995500000035663,404
161,220.0,0.09995500000035663,1147
162,130.0,0.09995500000035663,801
163,185.0,0.09995500000035663,895
164,210.0,0.09995500000035663,876
165,55.0,0.09995500000035663,560
166,265.0,0.09995500000035663,982
167,680.0,0.09995500000035663,1554
168,160.0,0.09995500000035663,1224
169,70.0,0.09995500000035663,624
170,780.0,0.09995500000035663,1012
171,230.0,0.09995500000035663,824
172,95.0,0.09995500000035663,642
173,245.0,0.09995500000035663,1125
174,180.0,0.09995500000035663,941
175,550.0,0.09995500000035663,1899
176,470.0,0.09995500000035663,952
177,700.0,0.09995500000035663,1450
178,210.0,0.09995500000035663,1059
179,30.0,0.09995500000035663,394
180,185.0,0.09995500000035663,978
181,30.0,0.09995500000035663,417
182,30.0,0.09995500000035663,611
183,75.0,0.09995500000035663,657
184,135.0,0.09995500000035663,834
185,390.0,0.09995500000035663,900
186,105.0,0.09995500000035663,684
187,135.0,0.09995500000035663,705
188,315.0,0.09995500000035663,1243
189,445.0,0.09995500000035663,1368
190,235.0,0.09995500000035663,1010
191,355.0,0.09995500000035663,1291
192,125.0,0.09995500000035663,529
193,270.0,0.09995500000035663,1233
194,120.0,0.09995500000035663,848
195,240.0,0.09995500000035663,993
196,195.0,0.09995500000035663,807
197,45.0,0.09995500000035663,513
198,105.0,0.09995500000035663,526
199,105.0,0.09995500000035663,637
200,435.0,0.09995500000035663,1252
201,75.0,0.09995500000035663,554
202,30.0,0.09995500000035663,407
203,200.0,0.09995500000035663,913
204,315.0,0.09995500000035663,953
205,35.0,0.09995500000035663,500
206,60.0,0.09995500000035663,521
207,115.0,0.09995500000035663,726
208,150.0,0.09995500000035663,634
209,180.0,0.09995500000035663,812
210,55.0,0.09995500000035663,681
211,60.0,0.09995500000035663,507
212,280.0,0.09995500000035663,1264
213,105.0,0.09995500000035663,650
214,65.0,0.09995500000035663,362
215,175.0,0.09995500000035663,829
216,70.0,0.09995500000035663,523
217,145.0,0.09995500000035663,965
218,50.0,0.09995500000035663,535
219,55.0,0.09995500000035663,498
220,230.0,0.09995500000035663,1036
221,245.0,0.09995500000035663,872
222,180.0,0.09995500000035663,816
223,345.0,0.09995500000035663,1026
224,150.0,0.09995500000035663,695
225,60.0,0.09995500000035663,541
226,235.0,0.09995500000035663,803
227,195.0,0.09995500000035663,965
228,130.0,0.09995500000035663,946
229,210.0,0.09995500000035663,1163
230,95.0,0.09995500000035663,875
231,200.0,0.09995500000035663,965
232,125.0,0.09995500000035663,636
233,175.0,0.09995500000035663,1049
234,55.0,0.09995500000035663,539
235,100.0,0.09995500000035663,639
236,80.0,0.09995500000035663,654
237,335.0,0.09995500000035663,1015
238,185.0,0.09995500000035663,1086
239,600.0,0.09995500000035663,1149
240,110.0,0.09995500000035663,675
241,160.0,0.09995500000035663,696
242,190.0,0.09995500000035663,921
243,505.0,0.09995500000035663,1599
244,215.0,0.09995500000035663,860
245,50.0,0.09995500000035663,878
246,45.0,0.09995500000035663,620
247,225.0,0.09995500000035663,938
248,110.0,0.09995500000035663,658
